RowNumber,CustomerId,Surname,First Name,Date of Birth,Gender,Marital Status,Number of Dependents,Occupation,Income,Education Level,Address,Contact Information,Customer Tenure,Customer Segment,Preferred Communication Channel,Credit Score,Credit History Length,Outstanding Loans,Churn Flag,Churn Reason,Churn Date,Balance,NumOfProducts,NumComplaints
102918,7752d17e-c524-4f6e-a0b7-cbfed3b8bf85,Harmon,Kimberly,1950-11-21,Female,Divorced,5,"Scientist, research (physical sciences)",45402.1,Diploma,"PSC 9652, Box 0599
APO AE 17293",(485)858-4806x0833,17,Corporate,Email,830,27,34932.24,0,,,9509.49,3,2
106508,5e625233-c605-437c-aa11-119affbfba9d,White,Angela,2005-03-07,Male,Single,4,Lawyer,44078.52,Bachelor's,"6148 Spencer Parkways Suite 571
Stacybury, MA 57302",670.727.2522,5,Corporate,Phone,684,14,41594.86,0,,,35067.86,4,10
51924,8c665903-c495-411e-b0f2-169344e8ff4c,Atkinson,Mary,1968-01-17,Female,Divorced,1,Meteorologist,39041.37,Master's,"7539 Williamson Isle Suite 133
North Bryanton, FL 08807",001-927-934-8940,27,SME,Email,546,26,23953.31,0,,,199337.49,5,0
49732,1caf3060-0fbf-4de6-9725-b7ec5cfafb15,Gibson,Thomas,1956-10-27,Male,Single,3,Social researcher,26139.89,High School,"PSC 2727, Box 4620
APO AA 74912",385-322-8313x750,3,Retail,Email,808,26,18280.2,0,,,180826.33,5,8
77099,d5493601-4e10-4810-9f3d-9886fc6cd98c,Sanford,Betty,2000-11-05,Female,Divorced,4,Claims inspector/assessor,29859.17,Diploma,"034 Pham Haven Suite 288
Port William, NE 21388",(842)766-6162x07802,6,Retail,Email,840,7,2035.52,0,,,36500.78,2,3
61253,5108764c-6cca-4f8e-9faf-377f32983836,Cherry,Kristin,2006-05-24,Female,Divorced,4,Hotel manager,92318.34,High School,"66598 Delgado Mews
Port Stephenstad, ND 45670",001-417-812-1725x16812,10,Retail,Email,652,26,4313.24,0,,,91514.4,4,7
111301,8a6b21b8-1f55-4020-a1a1-bfaf09f549bc,Rangel,Denise,1996-04-08,Female,Married,4,"Engineer, building services",81956.78,High School,"2529 Gutierrez Crossroad Apt. 405
Smithport, GU 21503",979-878-3425x47086,19,SME,Phone,370,22,34586.73,0,,,244268.53,3,9
30939,be11a76d-0da8-4f21-91a1-4c4959bbd97f,Gonzalez,Jennifer,1965-02-22,Female,Divorced,0,Radio broadcast assistant,65947.02,Diploma,"9512 Hernandez Way
Royton, MH 10459",+1-422-893-8076x205,28,SME,Email,727,28,42795.78,0,,,72144.18,3,2
109052,94d53771-1af2-4d35-b16d-1c1a5002ccb8,Martin,Emma,1950-06-09,Female,Married,2,Television camera operator,75261.66,High School,"959 Christina Points Suite 938
Schultzstad, FM 68338",985-458-3078x12371,26,Retail,Phone,422,23,27675.68,0,,,66778.19,5,3
12061,de19164d-fc09-4a75-af30-e5aff37dba1e,Morrow,Andrew,1984-07-21,Female,Single,3,Dance movement psychotherapist,78513.18,Diploma,"550 Lloyd Oval Suite 826
Clarkview, FM 82244",001-645-828-6061,17,Retail,Email,710,28,14909.25,0,,,62896.79,2,6
69991,5c2f61e4-1dab-4228-bdd5-dcb1bc690052,Griffith,William,1961-12-15,Female,Divorced,2,"Horticulturist, amenity",15955.35,Bachelor's,"874 Brandon Extensions Suite 545
Port Walter, NY 85514",(300)295-7857x05576,13,SME,Email,626,25,29288.2,0,,,242209.21,1,0
101202,3d8f0510-97fd-44b4-8b0e-6fb5dfe5c98c,Lopez,Mark,1969-08-19,Male,Divorced,0,"Engineer, broadcasting (operations)",37235.11,Diploma,"8186 Charles Ports Apt. 981
Lloydport, IN 40364",9352049777,3,Retail,Email,725,8,15531.63,0,,,166674.23,5,9
1645,69dd8541-87ca-41f8-87ca-cfade01d9d2d,Marks,Kimberly,1959-07-28,Male,Divorced,3,"Engineer, chemical",35283.17,Master's,"889 Garcia Lane Apt. 534
Raymondland, FM 27466",+1-565-324-5685,10,Retail,Phone,631,28,3337.47,0,,,58952.94,2,6
80026,fae7f3e8-2dca-46e6-a3d0-fdef66b1469e,Hernandez,Tony,1959-06-15,Female,Single,0,Network engineer,58627.67,Master's,"7150 Lisa Fields Suite 222
Samuelland, NH 01137",722-333-7950x83224,21,SME,Email,406,11,36936.61,0,,,206719.05,4,3
50832,06f71752-29d0-4455-91c8-87c38514aa91,Smith,Valerie,1986-07-17,Female,Married,4,Youth worker,94133.78,High School,"839 Brian Falls
North Martha, AS 00827",001-458-281-8887x2696,2,Corporate,Phone,416,3,38680.49,0,,,221119.2,4,9
109748,ffcc1c78-6d4e-4dd7-b5ff-b772e57f18e1,Perez,Kerry,1951-12-24,Male,Single,2,Lexicographer,82838.9,Master's,"9795 Price Highway Suite 786
Sextonview, HI 16158",+1-326-511-9464x005,6,Retail,Phone,747,20,22505.99,0,,,225589.98,5,7
